title,abstract,pdf_url,doi,publication_date
Launi za Kiswahili sanifu na Kiswahili fasaha kwa Tanzania Bara na Zanzibar,"Mabaraza na vyombo wenza vya kuendeleza lugha ya Kiswahili kwa upande wa Tanzania Bara na yale ya Tanzania Zanzibar hivi karibuni yameidhinisha kamusi za Kiswahili zinazopelekea kuwa na vielelezo anuwai vya usanifu wa lugha ya Kiswahili. Kamusi ya Kiswahili Sanifu (KKS) ya TUKI (sasa TATAKI) ya 2004 na ile ya Kamusi la Kiswahili Fasaha (KKF) ya BAKIZA ya 2010 ni ushahidi kuwa launi za Kiswahili Sanifu dhidi ya Kiswahili Fasaha zinarasimishwa. Kwa kutumia vigezo vya nadharia ya usanifishaji lugha ya Haugen (1966, 1987), makala haya yanajenga hoja kuwa tayari tumeshapata launi rasmi mbili za Kiswahili. Mapitio ya maandiko rasmi kinzani ya wasomi wa Tanzania bara na yale ya wasomi wa Zanzibar yanathibitisha kukubalika kwa launi hizo. Tahadhari kwa wahariri, walimu wa Kiswahili kama lugha ya kigeni, wanasheria, waandishi wa habari, wafasiri na watumiaji wa kawaida inatolewa juu ya kubainisha waziwazi launi hizo rasmi katika kazi zao za kila siku.",https://ul.qucosa.de/id/qucosa%3A11854,,2013-03-06
Kiinimacho cha mahali: kiambishi tamati cha mahali -ni,"The locative suffix -ni:\nIn this article we discuss two hypotheses about the origin of the locative suffix -ni. The better known hypothesis (Raum 1909; Meinhof 1941/42) assumes that the suffix -(i)ni developed out of a class 18 demonstrative, though the details of the assumed phonological changes have never been made clear. The competing hypothesis by Sacleux (1939) suggests that locative nouns with -ni started out as compounds with the noun ini `liver´. We think that this second hypothesis is phonologically more plausible and that it also accounts for the specific link with the meaning of class 18 `inside´. Comparison of the spread of the locative suffix -(i)ni and of the word ini `liver´, together with other historical considerations, point to Kiswahili (or Sabaki) as the most likely origin of this locative suffix.",http://hdl.handle.net/1887/8827,,1994-01-01
Down the sunspot plughole,,https://www.nature.com/articles/37883.pdf,https://doi.org/10.1038/37883,1997-09-04
Mazungumzo na Adam Shafi juu ya uandishi wake wa riwaya,"Adam Shafi aliyezaliwa mwaka 1940 kisiwani Unguja ni mmojawapo wa waandishi mashuhuri wa riwaya ya Kiswahili. Hivi sasa mwandishi yumo mbioni kukamilisha muswada wa riwaya yake ya sita iitwayo Mtoto wa Mama. Mbali na uandishi, Adam Shafi aliwahi kufanya kazi mbalimbali za uandishi wa habari na kazi za ushirika wa kimataifa. Ni furaha yetu kubwa kuwa hatimaye tunaweza kutoa mazungumzo hayo baada ya kuyapitia na kuyahariri kidogo tu, kwa vile tunaamini utamu wa lugha inavyozungumzwa katika hali halisi ya maisha una nguvu ya kiujumi inayoweza kumvutia msomaji zaidi.",https://ul.qucosa.de/id/qucosa%3A11742,,2012-12-03
Mustakabali wa Kiswahili kama Lugha ya Kufundishia Nchini Tanzania: Uhakiki wa Maudhui ya Sera ya Elimu na Mafunzo ya 2014,"Msingi wa makala haya ni “Sera ya Elimu na Mafunzo” (SEM, 2014). Makala yanahakiki nafasi ya lugha ya Kiswahili kwenye Sera ya Elimu na Mafunzo nchini Tanzania na mustakabali wake kwenye mfumo wa elimu kama lugha ya kufundishia. Mbinu iliyotumika ni ya maktabani ambapo mwandishi alisoma na kuhakiki maudhui ya SEM msisitizo ukiwa kwenye masuala yahusuyo lugha ya kufundishia. Uchambuzi wa kiisimujamii ulitumika ili kuonesha ukinzani baina ya matamko ya SEM. Tamko la SEM kuhusu lugha ya Kiswahili kama lugha ya kufundishia haliakisi hali halisi. Uhusiano wa Kiisimujamii wa lugha ya Kiswahili na ya Kiingereza kuhusu elimu unatoa tafsiri kuwa endapo SEM itatumika bila nia ya dhati ya kuisaidia lugha ya Kiswahili basi lugha hiyo inaweza kutoweka kabisa kwenye mfumo wa elimu kama lugha ya kufundishia. Makala yanajenga hoja kuwa tamko la SEM kwamba Kiingereza na Kiswahili ziwe na hadhi sawa kwenye mfumo wa elimu linatia moyo kwa mustakabali wa lugha ya Kiswahili lakini utekelezaji wake unaibua changamoto nyingi kwa namna ambayo zisipotazamwa kwa makini lugha ya Kiingereza itaendelea kukita mizizi zaidi na kujenga uwezekano wa jamii kukataa kufundishwa kwa lugha ya Kiswahili kwa sababu mwelekeo wa jamii unanasibisha elimu na Kiingereza. Mwisho, wito unatolewa kwa watunga sera kusitisha kutumia lugha ya wachache kutoa elimu kwa wengi kwa kuwa kufanya hivyo ni kubadili malengo ya elimu.",https://doi.org/10.37759/mjed.2017.1.1.6,https://doi.org/10.37759/mjed.2017.1.1.6,2017-12-01
AL-SHAYKH MAIMOEN ZUBAIR WA AFKĀRUH ‘AN AL-ISLĀM WA AL-WAṬANIYAH WA AL-TASĀMUH FĪ INDŪNĪSIYĀ,"The article examines the thoughts of Maimoen Zubair (1929â€“2019), one of Indonesia's most eminent traditional Muslim scholars, in relation to his attitudes and views on issues of nationality and religious tolerance. Examining this subject is critical because the community's tolerance level is declining, and few studies examine the figures' perspectives on the subject. To gain a better understanding of Maimoen Zubair's thoughts, this research employed a qualitative approach, which included an interview with him and an analysis of his works and lectures. The study findsÂ that Maimoen Zubair holds progressive views on nationality issues, emphasizing the critical importance of preserving nationalism as a means of uniting a nation. This is something that all communities, regardless of their religious affiliation, should do. Individuals cannot worship in peace and comfort if communal conflicts occur. According to him, a country will achieve unity when its citizens respect and tolerate one another. His attitudes and views are derived from traditional Islamic teachings and the traditions of Pesantren (Islamic boarding school), where he studied. Maimoen Zubai's views on nationality are widely accepted in Indonesia, not just among Muslims.",http://jiis.uinsby.ac.id/index.php/JIIs/article/download/2001/pdf_87,https://doi.org/10.15642/jiis.2021.15.1.223-246,2021-06-01
"Kiswahili: a poem by Mahmoud Ahmad Abdulkadir, to which is appended a list of the poet’s compositions in verse.","Ustadh Mau ni jina la hirimu la Mahmoud Ahmad Abdulkadir. Ni muAmu halisi: ni mzaliwa wa Amu, alikuwa mwanafunzi kule, na leo ni miongoni mwa viongozi wa dini wa Amu. Pia ni mfadhili wa miradi mingi. Umaarufu wake umeeneya kwa sababu ya vipaji vyake vya ushairi. Utungaji wa Kiswahili ni mfano mmoja katika vipaji hivi. Mashairi haya, alioandika kwa herufi za kiArabu, yanatafautisha hali ya kiSwahili ilivyokuwa zamani na ilivyo sasa. Ustadh Mau analalamika kukhusu hali ya lugha hii, hasa katika sehemu za uSwahili wa kaskazini. Katika wakati ujao kiSwahili kitakuwa hali gani?",https://ul.qucosa.de/api/qucosa%3A12327/attachment/ATT-0/,,2014-03-27
"Uwi ni Sifa ya Ujumi wa Kiafrika? Mifano kutoka Diwani ya Mnyampala, Mashairi ya Saadan na Kivuli cha Mvumo","Uwi ni dhana ya kiujumi inayowatatiza watu wengi kwa sababu huko nyuma ujumi ulijulikana kama uzuri. Jamii mbalimbali ulimwenguni zina aina mbalimbali za ujumi. Afrika ina aina mahsusi za ujumi ambazo hutambulishwa na vipengele anuwai katika sanaa zake. Makala hii inaangazia uthibitisho wa kuwa uwi ni sifa ya kiujumi wa Waafrika. Aidha, data zilizotumika katika makala hii zimekusanywa kwa njia ya maktaba iliyohusisha usomaji wa vitabu, makala na tasnifu. Njia hii ilitumika kwa sababu ya kupata data za upili na kubaini mapengo yaliyojitokeza katika tafiti zilizotangulia. Vitabu teuli ni vya mashairi kutoka diwani tatu ambazo ni Diwani ya Mnyampala ya Mathias Mnyampala, Mashairi ya Saadan ya Saadan Kandoro na Kivuli cha Mvumo ya Rashid Mfaume yamehusishwa kama rejea kuthibitisha kuwa uwi ni sifa ya ujumi wa Waafrika. Nadharia ya Unegritudi inayokitwa katika mikabala ya Kiafrika, ndiyo iliyoongoza mjadala wa matokeo wa makala hii. Imethibitika kuwa uwi ni kitu cha kiujumi hivyo kinapaswa kumakinikiwa kwa namna iliyo sawa na uzuri.",https://doi.org/10.37759/mjed.2018.2.1.2,https://doi.org/10.37759/mjed.2018.2.1.2,2018-12-01
Masuala ya kisarufi katika magazeti ya mitaani ya kiswahili - Tanzania,"Baada ya kupitishwa kwa sheria iliyoruhusu kuanzishwa kwa magazeti binafsi mnamo 1992, kumeibuka magazeti mengi ya lugha ya Kiswahili nchini Tanzania yanayochapishwa kila siku. Kundi moja la magazeti ni lile la magazeti yanayojulikana kwa jumla kama `Magazeti ya Mitaani´. Magazeti katika kundi hili yanabeba mada nyingi mbalimbali zinazohusu mambo ya watu mitaani, masuala ya mambo ya kidini mitaani, vichekesho, na mara nyingi yale yanayowasibu wanajamii mitaani mmojammoja au kwa jumla. Nia yetu katika makala haya ni kuchunguza masuala ya kisarufi katika maelezo yanayojitokeza katika `magazeti ya mitaani´.",https://ul.qucosa.de/id/qucosa%3A11728,,2012-11-30
Al-Lughah al-Arabiyah wa Dauruha fi Tatwiri al-Mafhum al-Hadari,"It goes without saying that Islam is not only a religion, it is also a creator and living spirit of major world civilization including Malay, with a long history stretching over fifteen centuries based mainly on wahyu as the source of all activities in various dimensions, emotional, spiritual as well as intellectual. This fact is the very reason why human being, as the most perfect creation, become the important topic of the Qur’an to act properly for the sake of reaching and endless happiness in both here and hereafter by keenly observing and understanding the milestones of this civilization through ages. Keeping in view the above reality, an organized steps should be made to enhance the process of learning and teaching of Arabic language of the future, because it is the way to rediscover the values which keep human creativities moving towards right direction for the better future of humanity. Allama Muhammad Iqbal said: “The secret of life and the essence of it is movement. I exist so long as I move, when I cease to move I shall cease to be”.",https://ejournal.unida.gontor.ac.id/index.php/tsaqafah/article/download/144/135,https://doi.org/10.21111/tsaqafah.v6i1.144,2010-05-31
