title,abstract,pdf_url,doi,publication_date
Why it’s Time to Abandon the ICER,,https://link.springer.com/content/pdf/10.1007/s40273-020-00915-5.pdf,https://doi.org/10.1007/s40273-020-00915-5,2020-05-11
An Analysis of Collocational Violations in Translation,"This study aims to raise awareness in teaching collocations to EFL/ESL students among teachers, curriculum writers, and related personnel, in the belief that collocations play a crucial role in learning the English language. The author presents the results of her research on collocational violations in translation by demonstrating the patterns of the violations and attempting to give plausible accounts for the errors so as to help avoid problems in learning a foreign/second language and promote effective communication.",http://ejournals.swu.ac.th/index.php/hm/article/view/618,,2009-02-09
Properties Testing of the Retranslated SF-36 (Thai Version)(การทดสอบคณสมบตของแบบสอบถาม SF-36 ภาษาไทยฉบบแปลใหม),"Quality of life assessment is an outcome measurement that has been increasingly focused by clinicians.At present, SF-36 (Thai version) is a widely used instrument.We previously reported validation results of the SF-36 which was proved unsatisfactory on some scales.In this study, the questionnaire was retranslated using a forward-backward method and tested on construct validity and internal consistency reliability.Four hundred and forty eight people were administered the retranslated version.Multitrait scaling analysis was used to examine the item-scale correlations and item discriminant validity.Principal component analyses were used to test for the hypothesized physical and mental dimensions of health and the pattern of scale correlations with those components (loading > 0.4; Principal component analysis; Varimax rotation).Reliability was tested by the estimation of internal consistency (Cronbach's alpha coefficients).The results showed that the rate of missing data was low (1.20%) and the highest percentage was observed on Mental health.Factor analysis yielded patterns for factor correlation of the new version were comparable to that found in the old version.However, relatively less agreement between the Thai version and the original were observed for Vitality and Role-emotional dimensions.Cronbach's alpha coefficients of the new version exceed the 0.7 level (0.72 -0.86) in all dimensions.The highest and lowest mean scores were on Physical functioning (86.1 ± 13.0) and .% Floor was highest on Roleemotional and % ceiling was on Role-physical.In conclusion, this study has yielded evidence supporting the validity and reliability of the new Thai version of the SF-36 although caution is recommended in the interpretation of Vitality and Role-emotional scales.",https://digital.car.chula.ac.th/cgi/viewcontent.cgi?article=2230&context=tjps,https://doi.org/10.56808/3027-7922.2230,2005-01-01
Populist Becoming: The Red Shirt Movement and Political Affliction in Thailand,"In this article, I explore the ways in which political subjectivities take shape through populist mobilization and dissipation. While the rise and increasing electoral success of populist movements across the world are largely attributed to charismatic leadership that conjures the will of “the people,” much less known is how people become populist subjects at a particular historical juncture. By attending to personal accounts of participation and detachment in a mass movement known as the Red Shirts in Thailand, I explore how the politics of becoming that emerges from this movement obfuscates the conventional distinction between populist and democratic identification. The articulation of populist subjects’ aspiration and affliction provides a window into the undetermined aspects of political mobilization from the realm of the ordinary. บทคัดย่อ ในบทความนี้ ข้าพเจ้ามุ่งศึกษาแนวทางการก่อร่างสร้างอัตวิสัยทางการเมือง ผ่านการมีส่วนร่วมในการเคลื่อนไหวแบบประชานิยมตลอดจนการสลายตัวของการเคลื่อนไหวดังกล่าว ในแง่หนึ่ง ความสำเร็จในการเลือกตั้งที่พบได้ในหลายประเทศทั่วโลก มาจากการเคลื่อนไหวแบบประชานิยม ซึ่งโดยมากมักจะกล่าวถึงผู้นำที่มีเอกลักษณ์ มีความสามารถในการชักจูงโน้มน้าว และสามารถตอบสนองต่อความต้องการของ “มวลชน” อย่างไรก็ตาม การศึกษาเกี่ยวกับปัจเจกหรือผู้ที่เข้าร่วมการเคลื่อนไหวแบบประชานิยมผ่านห้วงวิกฤตการณ์หรือการเปลี่ยนแปลงทางการเมืองนั้นยังมีน้อย ในการศึกษานี้ ข้าพเจ้าอาศัยเรื่องราวและประสบการณ์ของผู้ที่มีส่วนร่วมในการเคลื่อนไหวทางการเมืองของกลุ่มคนเสื้อแดงในประเทศไทยจนกระทั่งปลีกตัวออกจากการเคลื่อนไหวดังกล่าว เพื่อสำรวจการเมืองของการกลายเป็น (Politics of Becoming) ที่เกิดขึ้นภายในบริบทการเคลื่อนไหวแบบประชานิยม ทั้งนี้ ข้อค้นพบของข้าพเจ้าทำให้ความเข้าใจต่อแนวคิดเดิมที่แบ่งแยกขั่วกลุ่มอัตลักษณ์ทางการเมืองแบบประชานิยมออกจากกลุ่มอัตลักษณ์ทางการเมืองแบบประชาธิปไตยนั้นสับสนยิ่งขึ้น ข้าพเจ้าเสนอให้เราทำความเข้าใจกับความสับสนดังกล่าว รวมถึงปฏิเสธการมองว่าความหลากหลาย ไม่เป็นระเบียบ ทวิลักษณ์ของความหมาย และมิติทางอารมณ์ความรู้สึกของผู้ที่มีส่วนร่วมในการเคลื่อนไหวแบบประชานิยมนั้น เป็นปัญหาที่ต้องได้รับการเยียวยาแก้ไข หากแต่ภาวะดังกล่าวเป็นลักษณะสำคัญที่ชี้ให้เห็นว่าประชานิยมมีส่วนในการก่อร่างสร้างอัตวิสัยแบบใหม่ การทำความเข้าใจกับความมุ่งหวัง ความปราถนา และความบอบช้ำของผู้ท่ีมีส่วนร่วมในการเคลื่อนไหวดังกล่าว อาจเป็นหนทางที่จะช่วยให้เราทำความเข้าใจกับแง่มุมใหม่ๆ เกี่ยวกับการเคลื่อนไหวทางการเมือง จากปริมณฑลของคนธรรมดาสามัญ [อัตวิสัยทางการเมือง การเคลื่อนไหวมวลชน ความบอบช้ำ ประชานิยม การกลายเป็น คนเสื้อแดง ประเทศไทย] 국문초록 본 논문은 포퓰리즘 운동의 확대와 해소 과정에서 정치적 주체성이 만들어지는 다양한 양상을 탐구한다. 포퓰리즘 정치의 전세계적 성장과 선거 정치에서 커져가는 영향력은 흔히 대중 혹은 인민의 의지를 결집시킬 수 있는 카리스마적 지도자의 성공과 등치되어 왔다. 그러나 과연 어떻게 대중 혹은 인민이 특정한 역사적 시점에서 포퓰리스트가 되는가에 대해서는 충분한 논의가 이루어지지 못한 바 있다. 이러한 문제의식을 바탕으로 본 논문은 태국 레드셔츠 운동의 흥망성쇠를 경유한 한 개인의 삶 경험을 탐색하고, 이를 통해 대중 운동에 기반한 되기(becoming)의 정치가 포퓰리즘과 민주주의에 대한 관습적 구분을 흐트러트리는 양상에 주목한다. 포퓰리스트 주체성을 고무하는 복잡한 정동과 의미들은 민주주의 정치를 저해하는 병폐가 아니며, 역으로 정치적 주체성의 새로운 형식들이 만들어지고 작동하는 방식을 핵심적으로 보여준다. 포퓰리스트 주체들의 변화에 대한 열망과 수난의 경험은 일상의 영역에서부터 정치적 동원의 아직 결정되지 않은, 불확정적 속성을 드러낸다.",https://journal.culanth.org/index.php/ca/article/download/4169/486,https://doi.org/10.14506/ca34.4.04,2019-11-08
"รฐธรรมนญ ประวตศาสตรขอความคด อำนาจสถาปนา และการเปลยนผาน [Rattathammanoon-Prawatsart-Korkwamkid-amnaj-sathapana-lae-karn-plian-parnn] [Constitution: History, Constituent Power, and Transition]",,https://academic.oup.com/icon/article-pdf/16/2/718/25037294/moy020.pdf,https://doi.org/10.1093/icon/moy020,2018-03-06
ทกษะความเขาใจและใชเทคโนโลยดจทลของพยาบาลทปฏบตงานโรงพยาบาลสงกดมหาวทยาลยแหงหนง,"บทนำ ทักษะความเข้าใจและใช้เทคโนโลยีดิจิทัล เป็นประโยชน์ในการสื่อสาร การปฏิบัติงาน รวมทั้งการพัฒนา กระบวนการทำงานในการดูแลผู้ป่วยให้เกิดประสิทธิภาพและประสิทธิผลสูงสุด ดังนั้นทักษะความเข้าใจ และใช้เทคโนโลยีดิจิทัลของพยาบาลจึงจำเป็นยิ่งในการปฏิบัติการพยาบาล วัตถุประสงค์การวิจัย 1) เพื่อศึกษาความถี่ของการใช้เทคโนโลยีดิจิทัลในการปฏิบัติงานและระดับทักษะความ เข้าใจและใช้เทคโนโลยีดิจิทัลของพยาบาล 2) เพื่อเปรียบเทียบทักษะความเข้าใจและใช้เทคโนโลยีดิจิทัลของพยาบาล ตามตำแหน่งงาน 3) เพื่อเปรียบเทียบทักษะความเข้าใจและใช้เทคโนโลยีดิจิทัลของพยาบาลตามตำแหน่งงาน และลักษณะงาน และ 4) เพื่อศึกษาความสัมพันธ์ระหว่างทักษะความเข้าใจและใช้เทคโนโลยีดิจิทัลของพยาบาล กับอายุงาน การออกแบบการวิจัย การวิจัยเชิงพรรณนา วิธีดำเนินการวิจัย กลุ่มตัวอย่างเป็นพยาบาลวิชาชีพ จำนวน 530 คน อายุงาน 1 ปีขึ้นไป สังกัดฝ่ายการพยาบาล โรงพยาบาลสังกัดมหาวิทยาลัยแห่งหนึ่ง เลือกตัวอย่างแบบสะดวก แบบสอบถามประกอบด้วย 4 ส่วน คือ ข้อมูลส่วนบุคคล ความถี่ของการใช้เทคโนโลยีดิจิทัลในการปฏิบัติงาน ทักษะความเข้าใจและใช้เทคโนโลยีดิจิทัล และปัญหาอุปสรรครวมทั้งความต้องการและข้อเสนอแนะต่อการใช้เทคโนโลยีดิจิทัล เก็บรวบรวมข้อมูล จากแบบสอบถามผ่าน google form ระหว่างเดือนกันยายน-ตุลาคม 2565 วิเคราะห์ข้อมูลโดยใช้สถิติบรรยาย และสถิติอ้างอิง ได้แก่ การทดสอบทีอิสระ และการวิเคราะห์สหสัมพันธ์ของเพียร์สัน ผลการวิจัย กลุ่มตัวอย่างส่วนใหญ่เป็นพยาบาลวิชาชีพ (ร้อยละ 86.4) อายุงานมากกว่า 20ปี (ร้อยละ 38.3) ลักษณะงานด้านคลินิก/ให้การพยาบาลผู้ป่วย (ร้อยละ 90.2) มีการใช้เทคโนโลยีดิจิทัลทุกวัน (ร้อยละ 63.2) ทักษะความเข้าใจและใช้เทคโนโลยีดิจิทัลอยู่ในระดับปานกลาง (ร้อยละ 46.9) กลุ่มตัวอย่างที่มีตำแหน่งงานระดับ บริหารและระดับปฏิบัติการพยาบาล มีทักษะความเข้าใจและใช้เทคโนโลยีดิจิทัลโดยรวมและรายด้านไม่แตกต่างกัน อย่างมีนัยสำคัญทางสถิติ ยกเว้นด้านการใช้โปรแกรมสร้างสื่อดิจิทัล (t = -3.890, p &lt; .001) กลุ่มตัวอย่างที่ปฏิบัติงาน ด้านคลินิกและไม่ได้ปฏิบัติงานด้านคลินิกมีทักษะความเข้าใจและใช้เทคโนโลยีดิจิทัลโดยรวมและรายด้านไม่แตกต่าง กันอย่างมีนัยสำคัญทางสถิติ ยกเว้นด้านการใช้โปรแกรมสร้างสื่อดิจิทัล (t = 3.448, p = .001) และด้านการใช้โปรแกรม ประมวลคำ (t = -1.983, p = .048) ทักษะความเข้าใจและใช้เทคโนโลยีดิจิทัลมีความสัมพันธ์ทางลบกับอายุงานอย่างมี นัยสำคัญทางสถิติ (r = -.471, p &lt; .001) ข้อเสนอแนะ ผู้บริหารการพยาบาลนำข้อมูลทักษะความเข้าใจและใช้เทคโนโลยีดิจิทัล ไปจัดทำแผนการฝึกอบรม และแผนการพัฒนาตนเองให้เหมาะสมตามตำแหน่งงานและลักษณะงานของพยาบาล และมุ่งเน้นการเพิ่มพูนทักษะ ความเข้าใจและใช้เทคโนโลยีดิจิทัลของพยาบาลที่อายุงานมาก",https://he02.tci-thaijo.org/index.php/TJONC/article/download/261436/179872,https://doi.org/10.60099/jtnmc.v38i02.261436,2023-06-26
New bounds for Ryser’s conjecture and related problems,"A Latin square of order <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""n""> <mml:semantics> <mml:mi>n</mml:mi> <mml:annotation encoding=""application/x-tex"">n</mml:annotation> </mml:semantics> </mml:math> </inline-formula> is an <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""n times n""> <mml:semantics> <mml:mrow> <mml:mi>n</mml:mi> <mml:mo>×</mml:mo> <mml:mi>n</mml:mi> </mml:mrow> <mml:annotation encoding=""application/x-tex"">n \times n</mml:annotation> </mml:semantics> </mml:math> </inline-formula> array filled with <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""n""> <mml:semantics> <mml:mi>n</mml:mi> <mml:annotation encoding=""application/x-tex"">n</mml:annotation> </mml:semantics> </mml:math> </inline-formula> symbols such that each symbol appears only once in every row or column and a transversal is a collection of cells which do not share the same row, column or symbol. The study of Latin squares goes back more than 200 years to the work of Euler. One of the most famous open problems in this area is a conjecture of Ryser-Brualdi-Stein from 60s which says that every Latin square of order <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""n times n""> <mml:semantics> <mml:mrow> <mml:mi>n</mml:mi> <mml:mo>×</mml:mo> <mml:mi>n</mml:mi> </mml:mrow> <mml:annotation encoding=""application/x-tex"">n\times n</mml:annotation> </mml:semantics> </mml:math> </inline-formula> contains a transversal of order <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""n minus 1""> <mml:semantics> <mml:mrow> <mml:mi>n</mml:mi> <mml:mo>−</mml:mo> <mml:mn>1</mml:mn> </mml:mrow> <mml:annotation encoding=""application/x-tex"">n-1</mml:annotation> </mml:semantics> </mml:math> </inline-formula>. In this paper we prove the existence of a transversal of order <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""n minus upper O left-parenthesis log n slash log log n right-parenthesis""> <mml:semantics> <mml:mrow> <mml:mi>n</mml:mi> <mml:mo>−</mml:mo> <mml:mi>O</mml:mi> <mml:mo stretchy=""false"">(</mml:mo> <mml:mi>log</mml:mi> <mml:mo>⁡</mml:mo> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mi>n</mml:mi> </mml:mrow> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mo>/</mml:mo> </mml:mrow> <mml:mi>log</mml:mi> <mml:mo>⁡</mml:mo> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mi>log</mml:mi> <mml:mo>⁡</mml:mo> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mi>n</mml:mi> </mml:mrow> </mml:mrow> <mml:mo stretchy=""false"">)</mml:mo> </mml:mrow> <mml:annotation encoding=""application/x-tex"">n-O(\log {n}/\log {\log {n}})</mml:annotation> </mml:semantics> </mml:math> </inline-formula>, improving the celebrated bound of <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""n minus upper O left-parenthesis log squared n right-parenthesis""> <mml:semantics> <mml:mrow> <mml:mi>n</mml:mi> <mml:mo>−</mml:mo> <mml:mi>O</mml:mi> <mml:mo stretchy=""false"">(</mml:mo> <mml:msup> <mml:mi>log</mml:mi> <mml:mn>2</mml:mn> </mml:msup> <mml:mo>⁡</mml:mo> <mml:mi>n</mml:mi> <mml:mo stretchy=""false"">)</mml:mo> </mml:mrow> <mml:annotation encoding=""application/x-tex"">n-O(\log ^2n)</mml:annotation> </mml:semantics> </mml:math> </inline-formula> by Hatami and Shor. Our approach (different from that of Hatami-Shor) is quite general and gives several other applications as well. We obtain a new lower bound on a 40-year-old conjecture of Brouwer on the maximum matching in Steiner triple systems, showing that every such system of order <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""n""> <mml:semantics> <mml:mi>n</mml:mi> <mml:annotation encoding=""application/x-tex"">n</mml:annotation> </mml:semantics> </mml:math> </inline-formula> is guaranteed to have a matching of size <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""n slash 3 minus upper O left-parenthesis log n slash log log n right-parenthesis""> <mml:semantics> <mml:mrow> <mml:mi>n</mml:mi> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mo>/</mml:mo> </mml:mrow> <mml:mn>3</mml:mn> <mml:mo>−</mml:mo> <mml:mi>O</mml:mi> <mml:mo stretchy=""false"">(</mml:mo> <mml:mi>log</mml:mi> <mml:mo>⁡</mml:mo> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mi>n</mml:mi> </mml:mrow> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mo>/</mml:mo> </mml:mrow> <mml:mi>log</mml:mi> <mml:mo>⁡</mml:mo> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mi>log</mml:mi> <mml:mo>⁡</mml:mo> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mi>n</mml:mi> </mml:mrow> </mml:mrow> <mml:mo stretchy=""false"">)</mml:mo> </mml:mrow> <mml:annotation encoding=""application/x-tex"">n/3-O(\log {n}/\log {\log {n}})</mml:annotation> </mml:semantics> </mml:math> </inline-formula>. This substantially improves the current best result of Alon, Kim and Spencer which has the error term of order <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""n Superscript 1 slash 2 plus o left-parenthesis 1 right-parenthesis""> <mml:semantics> <mml:msup> <mml:mi>n</mml:mi> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mn>1</mml:mn> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mo>/</mml:mo> </mml:mrow> <mml:mn>2</mml:mn> <mml:mo>+</mml:mo> <mml:mi>o</mml:mi> <mml:mo stretchy=""false"">(</mml:mo> <mml:mn>1</mml:mn> <mml:mo stretchy=""false"">)</mml:mo> </mml:mrow> </mml:msup> <mml:annotation encoding=""application/x-tex"">n^{1/2+o(1)}</mml:annotation> </mml:semantics> </mml:math> </inline-formula>. Finally, we also show that <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""upper O left-parenthesis n log n slash log log n right-parenthesis""> <mml:semantics> <mml:mrow> <mml:mi>O</mml:mi> <mml:mo stretchy=""false"">(</mml:mo> <mml:mi>n</mml:mi> <mml:mi>log</mml:mi> <mml:mo>⁡</mml:mo> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mi>n</mml:mi> </mml:mrow> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mo>/</mml:mo> </mml:mrow> <mml:mi>log</mml:mi> <mml:mo>⁡</mml:mo> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mi>log</mml:mi> <mml:mo>⁡</mml:mo> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mi>n</mml:mi> </mml:mrow> </mml:mrow> <mml:mo stretchy=""false"">)</mml:mo> </mml:mrow> <mml:annotation encoding=""application/x-tex"">O(n\log {n}/\log {\log {n}})</mml:annotation> </mml:semantics> </mml:math> </inline-formula> many symbols in Latin arrays suffice to guarantee a full transversal, improving on a previously known bound of <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""n Superscript 2 minus epsilon""> <mml:semantics> <mml:msup> <mml:mi>n</mml:mi> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mn>2</mml:mn> <mml:mo>−</mml:mo> <mml:mi>ε</mml:mi> </mml:mrow> </mml:msup> <mml:annotation encoding=""application/x-tex"">n^{2-\varepsilon }</mml:annotation> </mml:semantics> </mml:math> </inline-formula>. The proofs combine in a novel way the semi-random method together with the robust expansion properties of edge-coloured pseudorandom graphs to show the existence of a rainbow matching covering all but <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""upper O left-parenthesis log n slash log log n right-parenthesis""> <mml:semantics> <mml:mrow> <mml:mi>O</mml:mi> <mml:mo stretchy=""false"">(</mml:mo> <mml:mi>log</mml:mi> <mml:mo>⁡</mml:mo> <mml:mi>n</mml:mi> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mo>/</mml:mo> </mml:mrow> <mml:mi>log</mml:mi> <mml:mo>⁡</mml:mo> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mi>log</mml:mi> <mml:mo>⁡</mml:mo> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mi>n</mml:mi> </mml:mrow> </mml:mrow> <mml:mo stretchy=""false"">)</mml:mo> </mml:mrow> <mml:annotation encoding=""application/x-tex"">O(\log n/\log {\log {n}})</mml:annotation> </mml:semantics> </mml:math> </inline-formula> vertices. All previous results, based on the semi-random method, left uncovered at least <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""normal upper Omega left-parenthesis n Superscript alpha Baseline right-parenthesis""> <mml:semantics> <mml:mrow> <mml:mi mathvariant=""normal"">Ω</mml:mi> <mml:mo stretchy=""false"">(</mml:mo> <mml:msup> <mml:mi>n</mml:mi> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mi>α</mml:mi> </mml:mrow> </mml:msup> <mml:mo stretchy=""false"">)</mml:mo> </mml:mrow> <mml:annotation encoding=""application/x-tex"">\Omega (n^{\alpha })</mml:annotation> </mml:semantics> </mml:math> </inline-formula> (for some constant",https://www.ams.org/btran/2022-09-08/S2330-0000-2022-00092-3/S2330-0000-2022-00092-3.pdf,https://doi.org/10.1090/btran/92,2022-04-15
An overview of methods to convert cone index to bevameter parameters,,https://www.sciencedirect.com/science/article/am/pii/S0022489819301181,https://doi.org/10.1016/j.jterra.2019.10.001,2019-11-07
Parameters of Transportation of Tailings of Metals Lixiviating,"\nThe article shows that the change in the situation in the metals market with a steady increase in production volumes is intensified against the tendency of the transition of mining production from underground mining to underground mining for a certain group of ores. The possibility of a non-waste metals extraction from not only standard, but also from substandard raw materials, is currently provided only by technology with the lixiviating of metals from developing ores. The regular dependences of the magnitude of hydraulic resistances on the hydro-mixture velocity and its density are determined. The correct values of the experimental data convergence with the calculated values of these parameters are obtained. It is shown that the optimization of the transportation parameters of lixiviating tailings allows reducing the level of chemically dangerous pollution of the environment by leachate products. The direction of obtaining the ecological and technological effect from the use of simultaneously environmental and resource-saving technology for the extraction of the disclosed metals is indicated.\n",https://www.e3s-conferences.org/articles/e3sconf/pdf/2017/09/e3sconf_2iims2017_01025.pdf,https://doi.org/10.1051/e3sconf/20172101025,2017-01-01
Glycosylation of Eag1 (Kv10.1) Potassium Channels,"N-Linked glycosylation is a common post-translational modification of membrane proteins. Here we report that mature Eag1 potassium channels carry sugar moieties linked to asparagines at positions 388 and 406. Asn-388 seems to undergo only core glycosylation, but complex sugars are bound to Asn-406. Correct complex glycosylation is required for proper trafficking of Eag1 to the plasma membrane but is also crucial for the correct function of channels already inserted in the membrane.",http://www.jbc.org/article/S0021925820563746/pdf,https://doi.org/10.1074/jbc.m504228200,2005-06-18
