title,abstract,pdf_url,doi,publication_date
Mind the gap!,"The energy gap between the highest occupied and lowest unoccupied electronic levels is a critical parameter determining the electronic, optical, redox, and transport (electrical) properties of a material. However, the energy gap comes in many flavors, such as the band gap, HOMO–LUMO gap, fundamental gap, optical gap, or transport gap, with each of these terms carrying a specific meaning. Failure to appreciate the distinctions among these different energy gaps has caused much confusion in the literature, which is manifested by the frequent use of improper terminology, in particular, in the case of organic molecular or macromolecular materials. Thus, it is our goal here to clarify the meaning of the various energy gaps that can be measured experimentally or evaluated computationally, with a focus on π-conjugated materials of interest for organic electronics and photonics applications.",https://pubs.rsc.org/en/content/articlepdf/2014/mh/c3mh00098b,https://doi.org/10.1039/c3mh00098b,2013-09-20
Nitel Araştırma Süreci: Nitel Bir Araştırma Nasıl Yapılır?,"Bu araştırmada, nitel araştırmalarda yaygın olarak kullanılan süreçlerden bahsedilmiş, ayrıca araştırma sürecinin kuramsal temelleri ve uygulamaya yönelik stratejileri ele alınmıştır. Bu çalışma özünde nitel araştırmacıların sıklıkla yöntembilim eksikliklerinden doğan uygulama sorunlarına karşı kavramsal bir zemin oluşturmayı hedeflemiştir. Çalışma ile nitel araştırma sürecinde eksikliği hissedilen kavramsal zemin oluşturulacak ve uygulamaya dönük stratejiler üzerinde durulacaktır. Bu amaçla belirtilen çerçevede alanyazında sıklıkla vurgulanan nitel desenler taranarak, elde edilen veriler kuramsal boyutta tartışılmış, bunun yanında nitel araştırmalara yön verecek yöntemler ve stratejiler hakkında bilgi verilmiştir. Çalışma sonucunda, nitel araştırma sürecinin, nicel araştırmalardan oldukça farklı ve öznel bir süreci ifade ettiği, nitel araştırmaya konu olan sorunsalı tüm dinamikleriyle ve derinlemesine incelemeye çalıştığı belirlenmiştir. Bu çalışma özellikle Türkçe alanyazında eksikliği hissedilen güncel ve kolaylıkla uygulanabilir nitel araştırma yöntemlerindeki eksikliğin tamamlanması amacını gütmektedir. Çalışmanın, nitel araştırma yöntemlerini kullanacak araştırmacılara gerek nitel verilere ilişkin bilgi toplama, araştırma ve gerekse analiz seçimi ve uygulamalarında yol göstereceği umulmaktadır.",https://dergipark.org.tr/tr/download/article-file/898942,https://doi.org/10.31592/aeusbed.598299,2019-12-24
Bir araştırma yöntemi olarak doküman analizi,"Doküman analizi, araştırma verilerinin birincil kaynağı olarak çeşitli dokümanların toplanması, gözden geçirilmesi, sorgulanması ve analizi olarak tanımlanabilen bilimsel bir araştırma yöntemidir. Bu yöntem, alanyazında çoğunlukla diğer araştırma yöntemlerinin tamamlayıcısı olarak hizmet ederken, tek başına bir yöntem olarak da kullanılmaktadır. Sosyal bilimlerde çalışma yöntemi olarak doküman analizinin kullanıldığı araştırmaların sayısında bir artış göze çarpmaktadır. Bu artışa rağmen diğer yöntemlerle karşılaştırıldığında doküman analizinin kullanımının oldukça sınırlı olduğu söylenebilir. Doküman analizinin bir araştırma yöntemi olarak birçok avantajı olmasına rağmen az kullanılmasının sebeplerinden birinin bu yöntem hakkındaki bilgi yetersizliği olduğu düşünülmektedir. Bir araştırma yöntemi olarak doküman analizi hakkında daha detaylı bilgilere ihtiyaç duyulmaktadır. Bu nedenle bu çalışmada doküman analizinin tanımı, mantığı, aşamaları, avantajları ve dezavantajlarının ortaya konulması amaçlanmıştır. Bununla birlikte, doküman analizine ilişkin bazı yanlış çıkarımlar söz konusudur. Buradan yola çıkarak bu çalışma kapsamında, (1) doküman analizi bir araştırma yöntemi mi, bir nitel veri toplama tekniği mi yoksa bir nitel veri analiz yöntemi mi, (2) yöntem çeşitlemesi (triangulation) ile veri çeşitlemesi aynı şey mi ve (3) doküman analizinin kullanıldığı bir araştırma bir alanyazın taraması mı tartışmalarına değinilmiştir. Ayrıca, doküman analizi yönteminde geçerlik ve güvenirliği sağlamak için dokümanları yalnızca incelemek yerine, kaynağı ve oluşma biçimiyle birlikte yorumlamaya çalışmak, dokümanlardan çıkarılan sonuçları farklı kaynaklardan doğrulamak ve gerektiğinde doküman analizi dışındaki yöntemleri de kullanmak ve bütün araştırma yöntemlerinde olduğu gibi doküman analizinde de araştırma standartlarına ve etiğe sıkı sıkıya bağlı kalmak gerektiği üzerinde durulmuştur.",https://dergipark.org.tr/tr/download/article-file/1456954,https://doi.org/10.33400/kuje.843306,2021-05-19
NİTEL BİR VERİ ANALİZİ YÖNTEMİ OLARAK DOKÜMAN ANALİZİ,"Dokümanlar, uzun yıllardır nitel araştırmalarda önemli bir unsur olmuştur. Doküman çeşitleri olarak kitaplar, mektuplar, dergiler, günlükler, haritalar, çizelgeler, istatistikler, anayasa ve yönetmelikler, yasal metinler, gazeteler, fotoğraflar, anılar, röportajlar, okul kayıtları, sağlık ve kamu kayıtları, resimler, videolar, mesajlar vb. sayılabilir. Özellikle son yıllarda, metotolojinin bir parçası olarak doküman analizinden bahseden araştırma raporlarını ve dergi makalelerinin sayısında bir artış gözlenmektedir. Burada dikkati çeken en önemli şey literatürde yer alan, araştırmaların, makalelerin çoğunda, takip edilen prosedür ve doküman analizi hakkında detaylı ve yeterli ayrıntı bulunmamasıdır. Alan yazında en çok kullanılan doküman analizi yöntemi dokümana ulaşma, orijinal olup olmadığını teyit etme, dokumanı anlama, analiz etme, veriyi kullanmadır. Bu araştırmada dokümanların nitel araştırmadaki yeri ve işlevi incelenmiştir. Dokümanların niteliği ve biçimleri ile doküman analizinin avantajları, sınırlılıkları ve zorlukları ana hatları ile açıklanmakta, dokümanların neler olduğu listelenmekte ve kullanımı ile ilgili örnekler sunulmaktadır. Ayrıca araştırmada, doküman analizi yapacaklar için çeşitli öneriler de yer almaktadır. Bu makalenin temel amacı nitel araştırma yöntemi olarak doküman analizinin ne olduğunu açıklamak, bunun kullanımını teşvik etmek ve bununla ilgili anlayış ve kullanım bilgisini yerleştirmektir. Bunların dışında analiz doküman analizi ile ilgili bilgiler vermenin yanı sıra veri toplarken, analiz ederken, raporlaştırırken kısacası dokuman analizindeki etik konular ve dikkat edilmesi gerekenlere ilişkin de bilgiler verilmiştir. Anahtar kelimeler: Veri, veri toplama, doküman, analiz, doküman analizi",https://dergipark.org.tr/tr/pub/susbid/issue/54983/727462,,2020-06-17
YAŞAM DOYUMU ÖLÇEĞİNİN TÜRKÇE’YE UYARLANMASI: GEÇERLİK VE GÜVENİRLİK ÇALIŞMASI,"Bu araştırmanın amacı, Diener, Emmons, Larsen ve Griffin (1985) tarafından geliştirilen “Yaşam Doyumu Ölçeği”nin(YDÖ) Türkiye koşullarında geçerlik ve güvenirlik çalışmasını yapmaktır. Özgün ölçek İngilizce olup, tek faktörlü bir yapı altında toplam 5 maddeden oluşmaktadır. Uyarlama çalışması için öncelikle orijinal ölçeğin Türkçeye çevirisi yapılmış, daha sonra dil, içerik, ölçme ve değerlendirme alanlarındaki uzmanların görüşlerine sunulmuştur. Uzmanların önerileri doğrultusunda ölçek üzerinde bazı değişiklikler yapıldıktan sonra Türkçe form ile İngilizce formun aynı anlamı taşıyıp taşımadığının uygulamada belirlenmesi amacıyla ölçekler iki hafta ara ile bir grup öğretmene uygulanmıştır. Her iki ölçekten alınan puanlar arsındaki tutarlığı test etmek için Pearson Mometler Çarpımı Korelasyon Katsayısı hesaplanmış ve 0,92 olarak saptanmıştır. Buna göre, İngilizce ve Türkçe ölçekler arasında yüksek düzeyde, pozitif ve anlamlı bir ilişki olduğu saptanmıştır. Dilsel eşdeğerliği sağlanan ölçek, Diyarbakır İl merkezindeki resmi ilkokullarda görevli 200 öğretmene uygulanmıştır. Ölçeğin Cronbach Alpha iç tutarlık kat sayısı 0,88 ve test- tekrar test güvenirliği ise 0,97 olarak saptanmıştır. Yapılan faktör analizi sonuçları, Yaşam Doyumu Ölçeği’nin orijinal ölçekte olduğu gibi, tek faktörlü bir yapı gösterdiğini ve yine özgün ölçekte olduğu gibi 5 maddeden oluştuğunu ortaya koymuştur. Yapılan geçerlik ve güvenirlik analizleri sonucunda, ölçeğin Türkiye’de Milli Eğitim Bakanlığı’na bağlı okullarda görevli öğretmenlerin yaşam doyumuna ilişkin algılarının belirlenmesinde kullanılabilecek geçerli ve güvenilir bir araç olduğu tespit edilmiştir.",http://dergipark.gov.tr/download/article-file/229755,https://doi.org/10.17755/esosder.263229,2016-10-15
Coronavirüs ve Çevrimiçi (Online) Eğitimin Önlenemeyen Yükselişi,"Aralık 2019 sonu ve 2020 Ocak Ayı başında ortaya çıkan Covid-19 Virüsü bütün dünyada korkulu bir rüya haline geldi. Ölümleri azaltmak, bulaşın ilerleme hızını düşürmek, tedavi çalışmaları için zaman kazanabilmek amacıyla birçok ülkede alınan tedbirler arasında, eğitim kurumlarında ve üniversitelerde sınıf içi yüz yüze eğitime belli bir süre ara vermek ya da tatil ilan etmek gibi düzenlemelerle olabildiğince sosyal mesafe yaratmaya çalışılmıştır. Buna ilişkin olarak Birleşmiş Milletler verilerine göre, dünyada 770 milyon kişilik öğrenen kitle, okulların ve üniversitelerin kapanmasından etkilenmiştir. Bu çalışmada, ülkelerin ve üniversitelerin eğitim öğretime ara vermemesini sağlamak adına bir zorunluluk haline gelen uzaktan eğitim çalışmalarının bir değerlendirilmesi yapılmıştır. Bu kavramsal çalışmada, durum tespiti yaparak çevrimiçi öğrenmenin yüz yüze öğrenmeye göre kriz dönemi sonrasında da ana akım öğrenme haline dönüşmesi konusu ele alınmaktadır.",https://dergipark.org.tr/tr/download/article-file/1051865,https://doi.org/10.32329/uad.711110,2020-04-20
Ölçek Geliştirme Çalışmalarında Temel İlkeler,"Stages of development, adaptation and usage of the scale need to be studied in accordance with the criteria and standards. Otherwise, the reliability and validity of the scale level will be low. Validity is a measurement tool for correct calculation without mixing any particular characteristics and can change by depending on the group administrated and the way of administration. Reliability of a measurement tool depends on the degree of consistency or the degree of how much the tool is free of errors. It is not only a characteristics of a measurement tool, but also a characteristic for the results of the tool. If the validity of a scale is not at the desired level, it decreases the power of statistical tests and determination of the difference between groups is significantly blocked or may result in increased costs and loss of time, in a much larger number of subjects to be included in the research by making it mandatory. A test with low reliability concludes in a measurement “bias” and leads to faulty decisions in clinical practises. In this study, the validity / reliability of the necessary conditions have been mentioned, regarding the creation of the scales used in research needs to be done.",https://dergipark.org.tr/tr/download/article-file/199275,https://doi.org/10.25282/ted.228738,2014-05-01
Koronavirüs (Covid-19) Pandemisi Sırasında İlköğretim Öğrencilerinin Uzaktan Eğitime Yönelik İmge ve Algıları: Bir Metafor Analizi,"Koronavirüs (Covid-19) pandemisiyle beraber tüm eğitim kurumları kapatılmış, eğitimin devamlılığını sağlamak üzere (acil) uzaktan eğitim uygulamaları devreye sokulmuştur. Bu süreçten yükseköğretim kadar ilk ve ortaöğretim düzeyindeki öğrenciler de etkilenmiştir. Bu bağlamda bu çalışma ilköğretim öğrencilerinin pandemi süresince edindikleri deneyimleri nitel olgubilim (fenomenoloji) çalışması kapsamında metafor analiziyle incelemiştir. Çalışmada olumlu metafor grubunda kolaylaştırıcı, yaşam boyu öğrenme, öğretimsel bulunuşluk, yapılandırılmış öğrenme, topluluk hissi, özerklik, zaman ve mekan bağımsızlık, içsel motivasyon ve erişebilirlik temaları ortaya çıkmıştır. Olumsuz metaforlar grubunda ise yalnızlık duygusu, yapaylık, sosyalleşme, dışsal motivasyon, izolasyon, iletişimsizlik, psikolojik uzaklık, kalite, eşitsizlik, anındalık ve duyuşsal yakınlık temaları ortaya çıkmıştır. Çalışma sonucuna göre uzaktan eğitimde kuram ve uygulamanın dengeli bir şekilde uygulanmasının ve buna göre öğretim tasarımı yapılmasının anlamlı öğrenme deneyimleri sağlayacağı düşünülmektedir.",https://dergipark.org.tr/tr/download/article-file/1229726,https://doi.org/10.29065/usakead.777652,2020-08-27
Sosyal Bilimlerde Betimsel İçerik Analizi,"Betimsel içerik analizi yöntemi, belirli bir konuda ya da alanda birbirinden bağımsız olarak yapılan nitel ve nicel çalışmaların derinlemesine incelenip düzenlenmesi anlamına gelir. Böylece o konu ya da alandaki genel eğilimler belirlenmektedir. Bu yöntemde elde edilen sonuçların, hedeflenen konulara yönelik olarak gelecekte planlanan çalışmalara yön göstermesi beklenmektedir. Bu çalışmanın temel amacı, eğitim bilimleri alanında sıkça kullanılmakta olan betimsel içerik analizi yönteminin, diğer sosyal bilimler alanlarında da kullanılabilmesi için, analizin nasıl yapılacağına dair soruların giderilmesini sağlamaktır. Çalışmanın, sosyal bilimler alanında betimsel içerik analizini kullanmak isteyen akademisyenlere yön göstermesi, temel bir kaynak olması hedeflenmektedir. Betimsel içerik analizinde, özellikle incelenen çalışmaların amaçlarına, gerekçelerine, sonuçlarına ve önerilerine ait analizlerde nitel analiz yaklaşımlarına uygun olarak, kod havuzu oluşturup, bu kodlara uygun temalandırma/kategorilendirme yönteminin kullanılması, betimsel içerik analizi çalışmalarının nitelik açısından da zenginleşmesini sağlayacaktır. Ayrıca, yapılacak olan betimsel içerik analizi çalışmalarında, incelenen çalışmalar, standartlaşmış analiz aşamaları dışında, benzer konulardaki diğer betimsel içerik analizi çalışmalarından ayrılması adına, farklı yönlerden de analize tabi tutulması gerekmektedir.",https://dergipark.org.tr/tr/download/article-file/1545984,https://doi.org/10.21733/ibad.871703,2021-03-08
ACTFL Proficiency Guidelines 2024,The book review template does not include a summary,https://dergipark.org.tr/en/download/article-file/3977178,https://doi.org/10.31464/jlere.1494854,2024-10-10
